Unit,Period,Mean,SD,SE,Unit,Period,Mean,SD,SE,Unit,Period,Mean,SD,SE,Unit,Period,Mean,SD,SE
MARIAN,1985-1994,0.02,0.01,0,,1995-2004,0.01,0.01,0,,2005-2014,0.06,0.01,0,,2015-2023,0.23,0.03,0
MHI,1985-1994,0.02,0.01,0,,1995-2004,0.06,0.02,0,,2005-2014,0.01,0.01,0,,2015-2023,0.28,0.03,0
NWHI,1985-1994,0,0,0,,1995-2004,0.03,0.01,0,,2005-2014,0.06,0.01,0,,2015-2023,0.21,0.04,0
PRIA,1985-1994,0.04,0.03,0.01,,1995-2004,0.02,0.01,0,,2005-2014,0.04,0.03,0.01,,2015-2023,0.19,0.08,0.01
SAMOA,1985-1994,0.02,0.01,0,,1995-2004,0.02,0.01,0,,2005-2014,0.06,0.01,0,,2015-2023,0.24,0.03,0
